Open,High,Low,Close,Volume,Ticker
13.16,13.16,12.952,12.976,179568,spyg
13.05,13.05,12.864,13.034,88228,spyg
12.976,13.062,12.936,13.015999999999998,313240,spyg
13.122,13.130999999999998,13.01,13.130999999999998,100696,spyg
13.23,13.306,13.198,13.306,200072,spyg
13.33,13.398,13.33,13.398,69056,spyg
13.36,13.423,13.358,13.423,171992,spyg
13.36,13.423,13.358,13.423,171992,spyg
13.38,13.384,13.257,13.257,65956,spyg
13.263,13.29,13.21,13.263,85564,spyg
13.218,13.243,13.158,13.175999999999998,86444,spyg
13.19,13.205,12.969,13.012,101268,spyg
13.19,13.205,12.969,13.012,101268,spyg
13.03,13.064,12.99,12.992,60596,spyg
12.832,12.832,12.617,12.623,163084,spyg
12.668,12.693,12.184,12.593,567652,spyg
12.671,12.74,12.377,12.38,223240,spyg
12.39,12.53,12.261,12.53,194760,spyg
12.451,12.686,12.448,12.598,120304,spyg
12.523,12.558,12.4,12.428,74412,spyg
12.538,12.6,12.502,12.6,209420,spyg
12.42,12.482,12.265,12.283,101664,spyg
12.177,12.298,12.032,12.152,292980,spyg
12.222,12.222,11.825,11.834,522220,spyg
11.908,11.978,11.715,11.816,196960,spyg
11.187,11.764,7.401,11.648,360232,spyg
11.187,11.764,7.401,11.648,360232,spyg
11.378,11.809,11.208,11.776,2166172,spyg
11.872,11.993,11.798,11.993,147036,spyg
12.095999999999998,12.148,11.765999999999998,11.883,176452,spyg
11.782,11.993,11.755,11.993,170212,spyg
12.025,12.044,11.941,11.993,83760,spyg
12.004,12.377,11.755,11.939,188484,spyg
11.816,12.206,11.804,12.095999999999998,184480,spyg
12.2,12.321,12.126,12.321,137248,spyg
12.262,12.28,12.17,12.17,94468,spyg
12.005999999999998,12.050999999999998,11.87,11.87,100256,spyg
11.932,11.973,11.735,11.737,37868,spyg
11.727,11.917,11.67,11.865,41444,spyg
11.836,11.928,11.764,11.854,178244,spyg
11.874,12.015999999999998,11.834,11.995,105600,spyg
12.074000000000002,12.18,11.988,12.032,151508,spyg
12.18,12.225,12.101,12.213,184480,spyg
12.22,12.227,12.074000000000002,12.081,118528,spyg
12.036,12.108,11.969,12.108,95356,spyg
12.173,12.191,12.047,12.121,62832,spyg
12.173,12.191,12.047,12.121,62832,spyg
12.014,12.192,12.0,12.17,64600,spyg
12.229,12.247,12.005999999999998,12.025,120548,spyg
12.056,12.140999999999998,11.915,12.140999999999998,104716,spyg
12.159,12.29,12.067,12.261,245296,spyg
12.204,12.42,12.202,12.363,382308,spyg
12.314,12.408,12.302,12.336,134124,spyg
12.287,12.332,12.229,12.24,198728,spyg
12.144,12.144,11.925999999999998,11.925999999999998,114008,spyg
11.955,11.995,11.880999999999998,11.962,137428,spyg
11.885,11.95,11.773,11.95,427872,spyg
11.984000000000002,12.083,11.932,12.034,397012,spyg
11.978,12.022,11.813,11.836,294088,spyg
11.724,11.852,11.604,11.699000000000002,437132,spyg
11.704,11.704,11.484000000000002,11.504,454052,spyg
11.614,11.811,11.535,11.8,129220,spyg
11.856,11.908,11.732,11.744000000000002,113068,spyg
11.638,11.867,11.553,11.811,120304,spyg
11.816,11.872,11.493,11.614,560108,spyg
11.37,11.518,11.304,11.45,248184,spyg
11.604,11.836,11.567,11.836,262012,spyg
11.888,11.894,11.58,11.58,90368,spyg
11.548,11.706,11.52,11.706,378304,spyg
11.787,12.036,11.787,11.99,176644,spyg
